model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
mobileie-6ch,cpu,1.png,282043462.0,282764615,282056077.0,282769923,True,
mobileie-6ch,cpu,111.png,287689231.0,303116384,287694692.0,303125308,True,
mobileie-6ch,cpu,146.png,289185847.0,291308846,289191462.0,291315154,True,
mobileie-6ch,cpu,179.png,287192308.0,292772000,287201846.0,292777154,True,
mobileie-6ch,cpu,22.png,283727770.0,296652539,283736077.0,296657538,True,
mobileie-6ch,cpu,23.png,288313307.0,291754461,288318538.0,291760616,True,
mobileie-6ch,cpu,493.png,281701461.0,286226231,281707385.0,286232077,True,
mobileie-6ch,cpu,547.png,278753154.0,293970077,278758769.0,293978846,True,
mobileie-6ch,cpu,55.png,287757231.0,290855692,287762384.0,290865154,True,
mobileie-6ch,cpu,665.png,283296923.0,286365538,283307154.0,286370385,True,
mobileie-6ch,cpu,669.png,314419077.0,316980000,314425462.0,316990077,True,
mobileie-6ch,cpu,748.png,358017539.0,365957231,358027077.0,365966769,True,
mobileie-6ch,cpu,778.png,363466770.0,364358077,363483077.0,364367615,True,
mobileie-6ch,cpu,780.png,359385231.0,360652307,359394154.0,360661770,True,
mobileie-6ch,cpu,79.png,361943461.0,363773000,361953000.0,363780923,True,
mobileie-6ch,nnapi,1.png,316646461.0,321333846,316655923.0,321339384,True,
mobileie-6ch,nnapi,111.png,322505308.0,359297847,322514846.0,359304616,True,
mobileie-6ch,nnapi,146.png,321336077.0,325777230,321346461.0,325783385,True,
mobileie-6ch,nnapi,179.png,322563154.0,327910461,322569231.0,327917231,True,
mobileie-6ch,nnapi,22.png,312449000.0,321097846,312459307.0,321104000,True,
mobileie-6ch,nnapi,23.png,315893230.0,322615000,315898770.0,322621231,True,
mobileie-6ch,nnapi,493.png,324585539.0,328302538,324591692.0,328312385,True,
mobileie-6ch,nnapi,547.png,318568539.0,320998385,318574692.0,321005000,True,
mobileie-6ch,nnapi,55.png,317683692.0,325454154,317690154.0,325460846,True,
mobileie-6ch,nnapi,665.png,317991308.0,319040615,317997231.0,319050077,True,
mobileie-6ch,nnapi,669.png,354153538.0,365290769,354170154.0,365301846,True,
mobileie-6ch,nnapi,748.png,358913538.0,370076385,358929231.0,370087616,True,
mobileie-6ch,nnapi,778.png,365513462.0,366337462,365524000.0,366356923,True,
mobileie-6ch,nnapi,780.png,364149231.0,369910154,364160615.0,369926847,True,
mobileie-6ch,nnapi,79.png,363335769.0,370822539,363344692.0,370832692,True,
mobileie-6ch,xnnpack,1.png,327616539.0,329420615,327623385.0,329431000,True,
mobileie-6ch,xnnpack,111.png,326815077.0,331243385,326822769.0,331253615,True,
mobileie-6ch,xnnpack,146.png,316298769.0,331915692,316305307.0,331926154,True,
mobileie-6ch,xnnpack,179.png,324708308.0,327251385,324718385.0,327256923,True,
mobileie-6ch,xnnpack,22.png,326647000.0,329978770,326657000.0,329985154,True,
mobileie-6ch,xnnpack,23.png,322419384.0,329402846,322430154.0,329409307,True,
mobileie-6ch,xnnpack,493.png,329865846.0,331126153,329874692.0,331132385,True,
mobileie-6ch,xnnpack,547.png,319304692.0,326037000,319311077.0,326042692,True,
mobileie-6ch,xnnpack,55.png,321392615.0,326374154,321398461.0,326383693,True,
mobileie-6ch,xnnpack,665.png,321851384.0,326076308,321857846.0,326092307,True,
mobileie-6ch,xnnpack,669.png,364834693.0,375504616,364841539.0,375518462,True,
mobileie-6ch,xnnpack,748.png,371071000.0,373225539,371091077.0,373233538,True,
mobileie-6ch,xnnpack,778.png,371389230.0,374755385,371398153.0,374769231,True,
mobileie-6ch,xnnpack,780.png,370864308.0,373346769,370873616.0,373361539,True,
mobileie-6ch,xnnpack,79.png,380381307.0,384750769,380396000.0,384762154,True,
