model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
mobileie-6ch,nnapi,1.png,316646461.0,321333846,316655923.0,321339384,True,
mobileie-6ch,nnapi,111.png,322505308.0,359297847,322514846.0,359304616,True,
mobileie-6ch,nnapi,146.png,321336077.0,325777230,321346461.0,325783385,True,
mobileie-6ch,nnapi,179.png,322563154.0,327910461,322569231.0,327917231,True,
mobileie-6ch,nnapi,22.png,312449000.0,321097846,312459307.0,321104000,True,
mobileie-6ch,nnapi,23.png,315893230.0,322615000,315898770.0,322621231,True,
mobileie-6ch,nnapi,493.png,324585539.0,328302538,324591692.0,328312385,True,
mobileie-6ch,nnapi,547.png,318568539.0,320998385,318574692.0,321005000,True,
mobileie-6ch,nnapi,55.png,317683692.0,325454154,317690154.0,325460846,True,
mobileie-6ch,nnapi,665.png,317991308.0,319040615,317997231.0,319050077,True,
mobileie-6ch,nnapi,669.png,354153538.0,365290769,354170154.0,365301846,True,
mobileie-6ch,nnapi,748.png,358913538.0,370076385,358929231.0,370087616,True,
mobileie-6ch,nnapi,778.png,365513462.0,366337462,365524000.0,366356923,True,
mobileie-6ch,nnapi,780.png,364149231.0,369910154,364160615.0,369926847,True,
mobileie-6ch,nnapi,79.png,363335769.0,370822539,363344692.0,370832692,True,
