model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
mobileie-6ch,xnnpack,1.png,327616539.0,329420615,327623385.0,329431000,True,
mobileie-6ch,xnnpack,111.png,326815077.0,331243385,326822769.0,331253615,True,
mobileie-6ch,xnnpack,146.png,316298769.0,331915692,316305307.0,331926154,True,
mobileie-6ch,xnnpack,179.png,324708308.0,327251385,324718385.0,327256923,True,
mobileie-6ch,xnnpack,22.png,326647000.0,329978770,326657000.0,329985154,True,
mobileie-6ch,xnnpack,23.png,322419384.0,329402846,322430154.0,329409307,True,
mobileie-6ch,xnnpack,493.png,329865846.0,331126153,329874692.0,331132385,True,
mobileie-6ch,xnnpack,547.png,319304692.0,326037000,319311077.0,326042692,True,
mobileie-6ch,xnnpack,55.png,321392615.0,326374154,321398461.0,326383693,True,
mobileie-6ch,xnnpack,665.png,321851384.0,326076308,321857846.0,326092307,True,
mobileie-6ch,xnnpack,669.png,364834693.0,375504616,364841539.0,375518462,True,
mobileie-6ch,xnnpack,748.png,371071000.0,373225539,371091077.0,373233538,True,
mobileie-6ch,xnnpack,778.png,371389230.0,374755385,371398153.0,374769231,True,
mobileie-6ch,xnnpack,780.png,370864308.0,373346769,370873616.0,373361539,True,
mobileie-6ch,xnnpack,79.png,380381307.0,384750769,380396000.0,384762154,True,
