model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
mobileie-6ch,cpu,1.png,282043462.0,282764615,282056077.0,282769923,True,
mobileie-6ch,cpu,111.png,287689231.0,303116384,287694692.0,303125308,True,
mobileie-6ch,cpu,146.png,289185847.0,291308846,289191462.0,291315154,True,
mobileie-6ch,cpu,179.png,287192308.0,292772000,287201846.0,292777154,True,
mobileie-6ch,cpu,22.png,283727770.0,296652539,283736077.0,296657538,True,
mobileie-6ch,cpu,23.png,288313307.0,291754461,288318538.0,291760616,True,
mobileie-6ch,cpu,493.png,281701461.0,286226231,281707385.0,286232077,True,
mobileie-6ch,cpu,547.png,278753154.0,293970077,278758769.0,293978846,True,
mobileie-6ch,cpu,55.png,287757231.0,290855692,287762384.0,290865154,True,
mobileie-6ch,cpu,665.png,283296923.0,286365538,283307154.0,286370385,True,
mobileie-6ch,cpu,669.png,314419077.0,316980000,314425462.0,316990077,True,
mobileie-6ch,cpu,748.png,358017539.0,365957231,358027077.0,365966769,True,
mobileie-6ch,cpu,778.png,363466770.0,364358077,363483077.0,364367615,True,
mobileie-6ch,cpu,780.png,359385231.0,360652307,359394154.0,360661770,True,
mobileie-6ch,cpu,79.png,361943461.0,363773000,361953000.0,363780923,True,
