model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
zero-dce,cpu,1.png,2076329846.0,2145812616,2076343769.0,2145833231,True,
zero-dce,cpu,111.png,2292983462.0,2324933539,2293005461.0,2324952231,True,
zero-dce,cpu,146.png,2326205154.0,2375489000,2326224000.0,2375507077,True,
zero-dce,cpu,179.png,2333549846.0,2334941770,2333569308.0,2334979078,True,
zero-dce,cpu,22.png,2296714154.0,2355466692,2296748692.0,2355510231,True,
zero-dce,cpu,23.png,2332186384.0,2355541308,2332222231.0,2355560231,True,
zero-dce,cpu,493.png,2339336923.0,2378963693,2339389539.0,2378985538,True,
zero-dce,cpu,547.png,2329847077.0,2348739385,2329895462.0,2348762154,True,
zero-dce,cpu,55.png,2323940693.0,2397329461,2323956846.0,2397381769,True,
zero-dce,cpu,665.png,2309350154.0,2353478154,2309372231.0,2353503385,True,
zero-dce,cpu,669.png,2320757846.0,2335058461,2320791307.0,2335080307,True,
zero-dce,cpu,748.png,2317323693.0,2343430154,2317345847.0,2343459307,True,
zero-dce,cpu,778.png,2299988847.0,2343477538,2300011077.0,2343500231,True,
zero-dce,cpu,780.png,2319009615.0,2337980847,2319040308.0,2338004001,True,
zero-dce,cpu,79.png,2324944616.0,2331658462,2324960078.0,2331674077,True,
sci-medium,cpu,1.png,69768308.0,75715461,69782154.0,75729231,True,
sci-medium,cpu,111.png,70469154.0,85165538,70482462.0,85186154,True,
sci-medium,cpu,146.png,74255154.0,74732923,74269231.0,74745769,True,
sci-medium,cpu,179.png,78034538.0,85285154,78075384.0,85299385,True,
sci-medium,cpu,22.png,70900231.0,81842154,70913769.0,81862231,True,
sci-medium,cpu,23.png,81704385.0,94761231,81717231.0,94774538,True,
sci-medium,cpu,493.png,70120077.0,74976308,70133000.0,74996924,True,
sci-medium,cpu,547.png,71079692.0,81210231,71103692.0,81222154,True,
sci-medium,cpu,55.png,68721231.0,70891462,68734769.0,70912615,True,
sci-medium,cpu,665.png,70671615.0,94445000,70685231.0,94467385,True,
sci-medium,cpu,669.png,68363615.0,70829846,68377231.0,70851615,True,
sci-medium,cpu,748.png,69924307.0,71724308,69945846.0,71737538,True,
sci-medium,cpu,778.png,69081769.0,70404231,69095384.0,70416923,True,
sci-medium,cpu,780.png,73569231.0,77286154,73583154.0,77299615,True,
sci-medium,cpu,79.png,66748307.0,69428307,66761847.0,69441769,True,
zero-dce,nnapi,1.png,2049381538.0,2050363308,2049395154.0,2050383693,True,
zero-dce,nnapi,111.png,2365928308.0,2369014770,2365953615.0,2369037308,True,
zero-dce,nnapi,146.png,2347501231.0,2356852847,2347523384.0,2356886461,True,
zero-dce,nnapi,179.png,2369964000.0,2388119385,2370014693.0,2388143000,True,
zero-dce,nnapi,22.png,2383638154.0,2396812692,2383662769.0,2396859000,True,
zero-dce,nnapi,23.png,2366813846.0,2375877308,2366848077.0,2375894462,True,
zero-dce,nnapi,493.png,2367729231.0,2374832923,2367751308.0,2374848616,True,
zero-dce,nnapi,547.png,2376479462.0,2386002769,2376502154.0,2386024077,True,
zero-dce,nnapi,55.png,2361528846.0,2403176923,2361548693.0,2403283077,True,
zero-dce,nnapi,665.png,2397671077.0,2398523385,2397697923.0,2398546385,True,
zero-dce,nnapi,669.png,2388986692.0,2393284000,2389007385.0,2393321769,True,
zero-dce,nnapi,748.png,2374553538.0,2402804616,2374575154.0,2402831077,True,
zero-dce,nnapi,778.png,2333349308.0,2335463462,2333364615.0,2335489923,True,
zero-dce,nnapi,780.png,2334567308.0,2340943077,2334593769.0,2340966769,True,
zero-dce,nnapi,79.png,2365499693.0,2368462462,2365522078.0,2368483308,True,
zero-dce,xnnpack,1.png,2015231308.0,2025357154,2015245308.0,2025377847,True,
zero-dce,xnnpack,111.png,2297853231.0,2301414538,2297872231.0,2301436539,True,
zero-dce,xnnpack,146.png,2292595770.0,2299364616,2292634385.0,2299383693,True,
zero-dce,xnnpack,179.png,2308158385.0,2321154385,2308195154.0,2321179154,True,
zero-dce,xnnpack,22.png,2307763077.0,2352281230,2307783077.0,2352365923,True,
zero-dce,xnnpack,23.png,2293883923.0,2311642462,2293903385.0,2311689538,True,
zero-dce,xnnpack,493.png,2313149923.0,2330311615,2313174769.0,2330381461,True,
zero-dce,xnnpack,547.png,2319329539.0,2325491308,2319348077.0,2325513307,True,
zero-dce,xnnpack,55.png,2325217615.0,2331787154,2325237461.0,2331806154,True,
zero-dce,xnnpack,665.png,2299914461.0,2309582077,2299930077.0,2309616539,True,
zero-dce,xnnpack,669.png,2309626231.0,2322041231,2309660308.0,2322065000,True,
zero-dce,xnnpack,748.png,2298962692.0,2321763692,2298991385.0,2321785846,True,
zero-dce,xnnpack,778.png,2298824385.0,2316534846,2298849770.0,2316568308,True,
zero-dce,xnnpack,780.png,2318179154.0,2335807461,2318201462.0,2335840000,True,
zero-dce,xnnpack,79.png,2305099078.0,2311489924,2305119693.0,2311522539,True,
sci-medium,nnapi,1.png,134286846.0,163052538,134302770.0,163113154,True,
sci-medium,nnapi,111.png,91232615.0,105677538,91252692.0,105735385,True,
sci-medium,nnapi,146.png,74794462.0,77105000,74807385.0,77126153,True,
sci-medium,nnapi,179.png,70660924.0,71830769,70673846.0,71852846,True,
sci-medium,nnapi,22.png,70455000.0,86985539,70468000.0,87006462,True,
sci-medium,nnapi,23.png,71340923.0,104230692,71354154.0,104243461,True,
sci-medium,nnapi,493.png,87605308.0,94070385,87619077.0,94083769,True,
sci-medium,nnapi,547.png,67412538.0,70853154,67425846.0,70875615,True,
sci-medium,nnapi,55.png,67133230.0,71215616,67146846.0,71236230,True,
sci-medium,nnapi,665.png,69913000.0,71027923,69927000.0,71048615,True,
sci-medium,nnapi,669.png,68926769.0,71536307,68940077.0,71556615,True,
sci-medium,nnapi,748.png,69033308.0,71608538,69047077.0,71629231,True,
sci-medium,nnapi,778.png,69336308.0,69367308,69349538.0,69380615,True,
sci-medium,nnapi,780.png,67692307.0,69740538,67705616.0,69753539,True,
sci-medium,nnapi,79.png,69132846.0,71569462,69145847.0,71590462,True,
sci-medium,xnnpack,1.png,70491923.0,83007693,70505769.0,83021615,True,
sci-medium,xnnpack,111.png,70807077.0,83844077,70828000.0,83858077,True,
sci-medium,xnnpack,146.png,95592308.0,103561923,95613538.0,103575385,True,
