model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
sci-medium,nnapi,1.png,28488923.0,28979154,28493231.0,28988923,True,
sci-medium,nnapi,111.png,33569230.0,39041461,33575077.0,39056616,True,
sci-medium,nnapi,146.png,29865538.0,30398461,29874769.0,30404308,True,
sci-medium,nnapi,179.png,28013538.0,29861153,28020308.0,29870231,True,
sci-medium,nnapi,22.png,26343462.0,28771616,26359077.0,28778769,True,
sci-medium,nnapi,23.png,26474692.0,28127385,26482154.0,28139769,True,
sci-medium,nnapi,493.png,27263692.0,27650154,27270385.0,27665615,True,
sci-medium,nnapi,547.png,28724615.0,29288308,28731077.0,29295077,True,
sci-medium,nnapi,55.png,28038769.0,28634693,28050385.0,28640923,True,
sci-medium,nnapi,665.png,29517461.0,30139077,29527385.0,30145616,True,
sci-medium,nnapi,669.png,29288923.0,31396077,29295769.0,31405769,True,
sci-medium,nnapi,748.png,32045462.0,34166385,32052000.0,34178692,True,
sci-medium,nnapi,778.png,30236231.0,33595154,30245231.0,33600692,True,
sci-medium,nnapi,780.png,29816308.0,30558769,29826692.0,30573847,True,
sci-medium,nnapi,79.png,27669231.0,29828384,27678846.0,29834770,True,
