model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
sci-medium,xnnpack,1.png,70491923.0,83007693,70505769.0,83021615,True,
sci-medium,xnnpack,111.png,70807077.0,83844077,70828000.0,83858077,True,
sci-medium,xnnpack,146.png,95592308.0,103561923,95613538.0,103575385,True,
sci-medium,xnnpack,179.png,68260077.0,71112923,68272923.0,71133538,True,
sci-medium,xnnpack,22.png,68430692.0,70100307,68443693.0,70121538,True,
sci-medium,xnnpack,23.png,68473231.0,81078538,68486538.0,81099154,True,
sci-medium,xnnpack,493.png,70332000.0,72657539,70353154.0,72671615,True,
sci-medium,xnnpack,547.png,68696539.0,69594230,68727308.0,69608000,True,
sci-medium,xnnpack,55.png,69460307.0,71614461,69480846.0,71627770,True,
sci-medium,xnnpack,665.png,76161847.0,84701539,76182462.0,84745538,True,
sci-medium,xnnpack,669.png,68936000.0,83978847,68956307.0,84024000,True,
sci-medium,xnnpack,748.png,77073769.0,78083077,77088385.0,78116846,True,
sci-medium,xnnpack,778.png,68884616.0,77697230,68906462.0,77711692,True,
sci-medium,xnnpack,780.png,75657923.0,84250077,75672231.0,84286231,True,
sci-medium,xnnpack,79.png,68914154.0,92795000,68927692.0,92808077,True,
