model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
zero-dce,nnapi,1.png,2026780384.0,2040542692,2026801231.0,2040556924,True,
zero-dce,nnapi,111.png,2289667923.0,2315797615,2289690770.0,2315814461,True,
zero-dce,nnapi,146.png,2283371693.0,2312938769,2283391461.0,2312976308,True,
zero-dce,nnapi,179.png,2276653923.0,2284384846,2276676692.0,2284406462,True,
zero-dce,nnapi,22.png,2294018846.0,2300786385,2294037308.0,2300809538,True,
zero-dce,nnapi,23.png,2313743769.0,2455376538,2313776308.0,2455392231,True,
zero-dce,nnapi,493.png,2297549308.0,2317886769,2297575385.0,2317911077,True,
zero-dce,nnapi,547.png,2332680078.0,2359887077,2332694770.0,2359922693,True,
zero-dce,nnapi,55.png,2313434461.0,2317355385,2313460692.0,2317374462,True,
zero-dce,nnapi,665.png,2354677769.0,2543441770,2354701539.0,2543461539,True,
zero-dce,nnapi,669.png,1657479077.0,2311382077,1657492308.0,2311403308,True,
zero-dce,nnapi,748.png,791104231.0,801448307,791120615.0,801457154,True,
zero-dce,nnapi,778.png,775116308.0,790443385,775132923.0,790453846,True,
zero-dce,nnapi,780.png,791762461.0,798219077,791772230.0,798228538,True,
zero-dce,nnapi,79.png,796193538.0,804440615,796200616.0,804447385,True,
