model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
zero-dce,xnnpack,1.png,2015231308.0,2025357154,2015245308.0,2025377847,True,
zero-dce,xnnpack,111.png,2297853231.0,2301414538,2297872231.0,2301436539,True,
zero-dce,xnnpack,146.png,2292595770.0,2299364616,2292634385.0,2299383693,True,
zero-dce,xnnpack,179.png,2308158385.0,2321154385,2308195154.0,2321179154,True,
zero-dce,xnnpack,22.png,2307763077.0,2352281230,2307783077.0,2352365923,True,
zero-dce,xnnpack,23.png,2293883923.0,2311642462,2293903385.0,2311689538,True,
zero-dce,xnnpack,493.png,2313149923.0,2330311615,2313174769.0,2330381461,True,
zero-dce,xnnpack,547.png,2319329539.0,2325491308,2319348077.0,2325513307,True,
zero-dce,xnnpack,55.png,2325217615.0,2331787154,2325237461.0,2331806154,True,
zero-dce,xnnpack,665.png,2299914461.0,2309582077,2299930077.0,2309616539,True,
zero-dce,xnnpack,669.png,2309626231.0,2322041231,2309660308.0,2322065000,True,
zero-dce,xnnpack,748.png,2298962692.0,2321763692,2298991385.0,2321785846,True,
zero-dce,xnnpack,778.png,2298824385.0,2316534846,2298849770.0,2316568308,True,
zero-dce,xnnpack,780.png,2318179154.0,2335807461,2318201462.0,2335840000,True,
zero-dce,xnnpack,79.png,2305099078.0,2311489924,2305119693.0,2311522539,True,
