model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
zero-dce,cpu,1.png,2076329846.0,2145812616,2076343769.0,2145833231,True,
zero-dce,cpu,111.png,2292983462.0,2324933539,2293005461.0,2324952231,True,
zero-dce,cpu,146.png,2326205154.0,2375489000,2326224000.0,2375507077,True,
zero-dce,cpu,179.png,2333549846.0,2334941770,2333569308.0,2334979078,True,
zero-dce,cpu,22.png,2296714154.0,2355466692,2296748692.0,2355510231,True,
zero-dce,cpu,23.png,2332186384.0,2355541308,2332222231.0,2355560231,True,
zero-dce,cpu,493.png,2339336923.0,2378963693,2339389539.0,2378985538,True,
zero-dce,cpu,547.png,2329847077.0,2348739385,2329895462.0,2348762154,True,
zero-dce,cpu,55.png,2323940693.0,2397329461,2323956846.0,2397381769,True,
zero-dce,cpu,665.png,2309350154.0,2353478154,2309372231.0,2353503385,True,
zero-dce,cpu,669.png,2320757846.0,2335058461,2320791307.0,2335080307,True,
zero-dce,cpu,748.png,2317323693.0,2343430154,2317345847.0,2343459307,True,
zero-dce,cpu,778.png,2299988847.0,2343477538,2300011077.0,2343500231,True,
zero-dce,cpu,780.png,2319009615.0,2337980847,2319040308.0,2338004001,True,
zero-dce,cpu,79.png,2324944616.0,2331658462,2324960078.0,2331674077,True,
sci-medium,cpu,1.png,69768308.0,75715461,69782154.0,75729231,True,
sci-medium,cpu,111.png,70469154.0,85165538,70482462.0,85186154,True,
sci-medium,cpu,146.png,74255154.0,74732923,74269231.0,74745769,True,
sci-medium,cpu,179.png,78034538.0,85285154,78075384.0,85299385,True,
sci-medium,cpu,22.png,70900231.0,81842154,70913769.0,81862231,True,
sci-medium,cpu,23.png,81704385.0,94761231,81717231.0,94774538,True,
sci-medium,cpu,493.png,70120077.0,74976308,70133000.0,74996924,True,
sci-medium,cpu,547.png,71079692.0,81210231,71103692.0,81222154,True,
sci-medium,cpu,55.png,68721231.0,70891462,68734769.0,70912615,True,
sci-medium,cpu,665.png,70671615.0,94445000,70685231.0,94467385,True,
sci-medium,cpu,669.png,68363615.0,70829846,68377231.0,70851615,True,
sci-medium,cpu,748.png,69924307.0,71724308,69945846.0,71737538,True,
sci-medium,cpu,778.png,69081769.0,70404231,69095384.0,70416923,True,
sci-medium,cpu,780.png,73569231.0,77286154,73583154.0,77299615,True,
sci-medium,cpu,79.png,66748307.0,69428307,66761847.0,69441769,True,
