model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
sci-medium,cpu,1.png,69768308.0,75715461,69782154.0,75729231,True,
sci-medium,cpu,111.png,70469154.0,85165538,70482462.0,85186154,True,
sci-medium,cpu,146.png,74255154.0,74732923,74269231.0,74745769,True,
sci-medium,cpu,179.png,78034538.0,85285154,78075384.0,85299385,True,
sci-medium,cpu,22.png,70900231.0,81842154,70913769.0,81862231,True,
sci-medium,cpu,23.png,81704385.0,94761231,81717231.0,94774538,True,
sci-medium,cpu,493.png,70120077.0,74976308,70133000.0,74996924,True,
sci-medium,cpu,547.png,71079692.0,81210231,71103692.0,81222154,True,
sci-medium,cpu,55.png,68721231.0,70891462,68734769.0,70912615,True,
sci-medium,cpu,665.png,70671615.0,94445000,70685231.0,94467385,True,
sci-medium,cpu,669.png,68363615.0,70829846,68377231.0,70851615,True,
sci-medium,cpu,748.png,69924307.0,71724308,69945846.0,71737538,True,
sci-medium,cpu,778.png,69081769.0,70404231,69095384.0,70416923,True,
sci-medium,cpu,780.png,73569231.0,77286154,73583154.0,77299615,True,
sci-medium,cpu,79.png,66748307.0,69428307,66761847.0,69441769,True,
