model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
zero-dce,cpu,1.png,2076329846.0,2145812616,2076343769.0,2145833231,True,
zero-dce,cpu,111.png,2292983462.0,2324933539,2293005461.0,2324952231,True,
zero-dce,cpu,146.png,2326205154.0,2375489000,2326224000.0,2375507077,True,
zero-dce,cpu,179.png,2333549846.0,2334941770,2333569308.0,2334979078,True,
zero-dce,cpu,22.png,2296714154.0,2355466692,2296748692.0,2355510231,True,
zero-dce,cpu,23.png,2332186384.0,2355541308,2332222231.0,2355560231,True,
zero-dce,cpu,493.png,2339336923.0,2378963693,2339389539.0,2378985538,True,
zero-dce,cpu,547.png,2329847077.0,2348739385,2329895462.0,2348762154,True,
zero-dce,cpu,55.png,2323940693.0,2397329461,2323956846.0,2397381769,True,
zero-dce,cpu,665.png,2309350154.0,2353478154,2309372231.0,2353503385,True,
zero-dce,cpu,669.png,2320757846.0,2335058461,2320791307.0,2335080307,True,
zero-dce,cpu,748.png,2317323693.0,2343430154,2317345847.0,2343459307,True,
zero-dce,cpu,778.png,2299988847.0,2343477538,2300011077.0,2343500231,True,
zero-dce,cpu,780.png,2319009615.0,2337980847,2319040308.0,2338004001,True,
zero-dce,cpu,79.png,2324944616.0,2331658462,2324960078.0,2331674077,True,
