model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
lyt-net,cpu,1.png,866642539.0,867552000,866652615.0,867556846,True,
lyt-net,cpu,111.png,812977538.0,833521616,812984847.0,833531308,True,
lyt-net,cpu,146.png,826117461.0,841091000,826126693.0,841096308,True,
lyt-net,cpu,179.png,826336923.0,847437615,826342461.0,847443077,True,
lyt-net,cpu,22.png,905479077.0,908104308,905515923.0,908113846,True,
lyt-net,cpu,23.png,892679000.0,900388693,892687769.0,900396923,True,
lyt-net,cpu,493.png,919209231.0,921476846,919226769.0,921484616,True,
lyt-net,cpu,547.png,922089000.0,937221231,922097846.0,937229846,True,
lyt-net,cpu,55.png,917798846.0,933548616,917815077.0,933557231,True,
lyt-net,cpu,665.png,919676308.0,921245923,919684923.0,921256000,True,
lyt-net,cpu,669.png,917336923.0,928200846,917353846.0,928211385,True,
lyt-net,cpu,748.png,910087923.0,914551616,910100000.0,914565923,True,
lyt-net,cpu,778.png,922587077.0,928954769,922628693.0,928963308,True,
lyt-net,cpu,780.png,919725461.0,923708385,919741230.0,923716231,True,
lyt-net,cpu,79.png,916351153.0,920890693,916365770.0,920899923,True,
ruas-lol,cpu,1.png,141386846.0,145631385,141397462.0,145637308,True,
ruas-lol,cpu,111.png,121972000.0,126396231,121978461.0,126405308,True,
ruas-lol,cpu,146.png,123992539.0,124113615,124009616.0,124119923,True,
ruas-lol,cpu,179.png,123427615.0,124490770,123436616.0,124500692,True,
ruas-lol,cpu,22.png,121669231.0,128343384,121680000.0,128350692,True,
ruas-lol,cpu,23.png,125406461.0,129055384,125412000.0,129077538,True,
ruas-lol,cpu,493.png,121161154.0,121718538,121173154.0,121728616,True,
ruas-lol,cpu,547.png,122072000.0,123681923,122081924.0,123688308,True,
ruas-lol,cpu,55.png,120792231.0,121246769,120801000.0,121253154,True,
ruas-lol,cpu,665.png,124890770.0,128678769,124902846.0,128685154,True,
ruas-lol,cpu,669.png,121774846.0,125922154,121780538.0,125928615,True,
ruas-lol,cpu,748.png,120158154.0,125604000,120164692.0,125609539,True,
ruas-lol,cpu,778.png,122442539.0,127331077,122449308.0,127336307,True,
ruas-lol,cpu,780.png,124260076.0,124768693,124266154.0,124779077,True,
ruas-lol,cpu,79.png,122037769.0,124650462,122068923.0,124659461,True,
