model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
lyt-net,cpu,1.png,866642539.0,867552000,866652615.0,867556846,True,
lyt-net,cpu,111.png,812977538.0,833521616,812984847.0,833531308,True,
lyt-net,cpu,146.png,826117461.0,841091000,826126693.0,841096308,True,
lyt-net,cpu,179.png,826336923.0,847437615,826342461.0,847443077,True,
lyt-net,cpu,22.png,905479077.0,908104308,905515923.0,908113846,True,
lyt-net,cpu,23.png,892679000.0,900388693,892687769.0,900396923,True,
lyt-net,cpu,493.png,919209231.0,921476846,919226769.0,921484616,True,
lyt-net,cpu,547.png,922089000.0,937221231,922097846.0,937229846,True,
lyt-net,cpu,55.png,917798846.0,933548616,917815077.0,933557231,True,
lyt-net,cpu,665.png,919676308.0,921245923,919684923.0,921256000,True,
lyt-net,cpu,669.png,917336923.0,928200846,917353846.0,928211385,True,
lyt-net,cpu,748.png,910087923.0,914551616,910100000.0,914565923,True,
lyt-net,cpu,778.png,922587077.0,928954769,922628693.0,928963308,True,
lyt-net,cpu,780.png,919725461.0,923708385,919741230.0,923716231,True,
lyt-net,cpu,79.png,916351153.0,920890693,916365770.0,920899923,True,
