model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
ruas-lol,cpu,1.png,141386846.0,145631385,141397462.0,145637308,True,
ruas-lol,cpu,111.png,121972000.0,126396231,121978461.0,126405308,True,
ruas-lol,cpu,146.png,123992539.0,124113615,124009616.0,124119923,True,
ruas-lol,cpu,179.png,123427615.0,124490770,123436616.0,124500692,True,
ruas-lol,cpu,22.png,121669231.0,128343384,121680000.0,128350692,True,
ruas-lol,cpu,23.png,125406461.0,129055384,125412000.0,129077538,True,
ruas-lol,cpu,493.png,121161154.0,121718538,121173154.0,121728616,True,
ruas-lol,cpu,547.png,122072000.0,123681923,122081924.0,123688308,True,
ruas-lol,cpu,55.png,120792231.0,121246769,120801000.0,121253154,True,
ruas-lol,cpu,665.png,124890770.0,128678769,124902846.0,128685154,True,
ruas-lol,cpu,669.png,121774846.0,125922154,121780538.0,125928615,True,
ruas-lol,cpu,748.png,120158154.0,125604000,120164692.0,125609539,True,
ruas-lol,cpu,778.png,122442539.0,127331077,122449308.0,127336307,True,
ruas-lol,cpu,780.png,124260076.0,124768693,124266154.0,124779077,True,
ruas-lol,cpu,79.png,122037769.0,124650462,122068923.0,124659461,True,
