model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
mobileie-6ch-1200x800,cpu,1.png,6425401248.0,6499632706,6425470987.0,6499705987,True,
mobileie-6ch-1200x800,cpu,111.png,6429282237.0,6475507602,6429342341.0,6475576820,True,
mobileie-6ch-1200x800,cpu,146.png,6480651092.0,6510620935,6480732289.0,6510686925,True,
mobileie-6ch-1200x800,cpu,179.png,6411323435.0,6608482654,6411391247.0,6608550726,True,
mobileie-6ch-1200x800,cpu,22.png,6513222915.0,6632085935,6513284268.0,6632169424,True,
mobileie-6ch-1200x800,cpu,23.png,6607340883.0,6744574373,6607418540.0,6744629112,True,
mobileie-6ch-1200x800,cpu,493.png,6683954321.0,6799045987,6684017341.0,6799101924,True,
mobileie-6ch-1200x800,cpu,547.png,6542455049.0,6551470987,6542513643.0,6551528331,True,
mobileie-6ch-1200x800,cpu,55.png,6548597081.0,7052165466,6548671248.0,7052205466,True,
mobileie-6ch-1200x800,cpu,665.png,7024743382.0,7065443643,7024806300.0,7065491143,True,
mobileie-6ch-1200x800,cpu,669.png,8850815986.0,10808367288,8850886612.0,10808433121,True,
mobileie-6ch-1200x800,cpu,748.png,9110325205.0,9938315048,9110397288.0,9938406506,True,
mobileie-6ch-1200x800,cpu,778.png,7349948851.0,7485484945,7350025466.0,7485533852,True,
mobileie-6ch-1200x800,cpu,780.png,7546147341.0,7769355726,7546223434.0,7769408851,True,
mobileie-6ch-1200x800,cpu,79.png,7570759633.0,7832010154,7570821612.0,7832069007,True,
mobileie-6ch-1800x1200,cpu,1.png,19429426347.0,34892308112,19429515462.0,34892380455,False,"OutOfMemoryError: Failed to allocate a 25920016 byte allocation with 5646048 free bytes and 5513KB until OOM, target footprint 268435456, growth limit 268435456"
mobileie-6ch-1800x1200,cpu,22.png,19629238587.0,20219700565,19629325305.0,20219758690,False,"OutOfMemoryError: Failed to allocate a 25920016 byte allocation with 5646048 free bytes and 5513KB until OOM, target footprint 268435456, growth limit 268435456"
mobileie-6ch-1800x1200,cpu,55.png,16601747182.0,17403257129,16601810254.0,17403300566,False,"OutOfMemoryError: Failed to allocate a 25920016 byte allocation with 5646048 free bytes and 5513KB until OOM, target footprint 268435456, growth limit 268435456"
mobileie-6ch-1800x1200,cpu,111.png,14715063016.0,17095406347,14715131973.0,17103144733,False,"OutOfMemoryError: Failed to allocate a 25920016 byte allocation with 5646048 free bytes and 5513KB until OOM, target footprint 268435456, growth limit 268435456"
mobileie-6ch-1800x1200,cpu,79.png,14993104994.0,14993104994,14993196296.0,14993196296,False,"OutOfMemoryError: Failed to allocate a 25920016 byte allocation with 5646048 free bytes and 5513KB until OOM, target footprint 268435456, growth limit 268435456"
mobileie-6ch-900x600,cpu,1.png,4288464529.0,4481322342,4288521092.0,4481376613,True,
mobileie-6ch-900x600,cpu,111.png,3977794947.0,5002123852,3977836353.0,5002191768,True,
mobileie-6ch-900x600,cpu,146.png,1423136302.0,1478442604,1423162707.0,1478485729,True,
mobileie-6ch-900x600,cpu,179.png,1368304270.0,1370924791,1368321927.0,1370975937,True,
mobileie-6ch-900x600,cpu,22.png,1381330833.0,1391431041,1381375832.0,1391458541,True,
mobileie-6ch-900x600,cpu,23.png,1368589166.0,1374261509,1368631197.0,1374293124,True,
mobileie-6ch-900x600,cpu,493.png,1487637864.0,1492598073,1487681145.0,1492630364,True,
mobileie-6ch-900x600,cpu,547.png,1397431197.0,1481593489,1397461874.0,1481634426,True,
mobileie-6ch-900x600,cpu,55.png,1377763801.0,1472968802,1377785260.0,1473014843,True,
mobileie-6ch-900x600,cpu,665.png,1478505156.0,1482885417,1478541719.0,1482932239,True,
mobileie-6ch-900x600,cpu,669.png,1470354271.0,1484496614,1470376562.0,1484535677,True,
mobileie-6ch-900x600,cpu,748.png,3660355051.0,3918667290,3660397655.0,3918720415,True,
mobileie-6ch-900x600,cpu,778.png,3735430051.0,3770987342,3735496144.0,3771058749,True,
mobileie-6ch-900x600,cpu,780.png,3775460727.0,3776710102,3775531665.0,3776791613,True,
mobileie-6ch-900x600,cpu,79.png,3707594166.0,3870160154,3707666040.0,3870218176,True,
