model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
mobileie-6ch-1200x800,cpu,1.png,6425401248.0,6499632706,6425470987.0,6499705987,True,
mobileie-6ch-1200x800,cpu,111.png,6429282237.0,6475507602,6429342341.0,6475576820,True,
mobileie-6ch-1200x800,cpu,146.png,6480651092.0,6510620935,6480732289.0,6510686925,True,
mobileie-6ch-1200x800,cpu,179.png,6411323435.0,6608482654,6411391247.0,6608550726,True,
mobileie-6ch-1200x800,cpu,22.png,6513222915.0,6632085935,6513284268.0,6632169424,True,
mobileie-6ch-1200x800,cpu,23.png,6607340883.0,6744574373,6607418540.0,6744629112,True,
mobileie-6ch-1200x800,cpu,493.png,6683954321.0,6799045987,6684017341.0,6799101924,True,
mobileie-6ch-1200x800,cpu,547.png,6542455049.0,6551470987,6542513643.0,6551528331,True,
mobileie-6ch-1200x800,cpu,55.png,6548597081.0,7052165466,6548671248.0,7052205466,True,
mobileie-6ch-1200x800,cpu,665.png,7024743382.0,7065443643,7024806300.0,7065491143,True,
mobileie-6ch-1200x800,cpu,669.png,8850815986.0,10808367288,8850886612.0,10808433121,True,
mobileie-6ch-1200x800,cpu,748.png,9110325205.0,9938315048,9110397288.0,9938406506,True,
mobileie-6ch-1200x800,cpu,778.png,7349948851.0,7485484945,7350025466.0,7485533852,True,
mobileie-6ch-1200x800,cpu,780.png,7546147341.0,7769355726,7546223434.0,7769408851,True,
mobileie-6ch-1200x800,cpu,79.png,7570759633.0,7832010154,7570821612.0,7832069007,True,
