model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
lyt-net,cpu,1.png,1788366250.0,1893409426,1788390312.0,1893427135,True,
lyt-net,cpu,111.png,1702839270.0,1741509791,1702866823.0,1741529999,True,
lyt-net,cpu,146.png,1729259010.0,1745097448,1729277343.0,1745114635,True,
lyt-net,cpu,179.png,1782971718.0,1802314947,1782991979.0,1802347499,True,
lyt-net,cpu,22.png,1974459166.0,5787968175,1974476093.0,5787994998,True,
lyt-net,cpu,23.png,5380768539.0,5494416925,5380858957.0,5494448279,True,
lyt-net,cpu,493.png,5346225154.0,5523992811,5346278956.0,5524054998,True,
lyt-net,cpu,547.png,5830168956.0,8725315778,5830204841.0,8725382184,True,
lyt-net,cpu,55.png,5113261457.0,5519096092,5113293384.0,5519162498,True,
lyt-net,cpu,665.png,5215506560.0,5308619842,5215556352.0,5308648852,True,
lyt-net,cpu,669.png,5011967186.0,5210378957,5012047758.0,5210459529,True,
lyt-net,cpu,748.png,6192311560.0,7079018331,6192368852.0,7079056039,True,
lyt-net,cpu,778.png,5287681977.0,5291332706,5287751195.0,5291397967,True,
lyt-net,cpu,780.png,5436866925.0,5850400831,5436892394.0,5850480154,True,
lyt-net,cpu,79.png,4951632394.0,4972303175,4951697290.0,4972361613,True,
mobileie-6ch,cpu,1.png,641391041.0,711833125,641407187.0,711850885,True,
mobileie-6ch,cpu,111.png,645037135.0,668473281,645053542.0,668490729,True,
mobileie-6ch,cpu,146.png,611577968.0,617354114,611596198.0,617370468,True,
mobileie-6ch,cpu,179.png,664299999.0,673593645,664317240.0,673610364,True,
mobileie-6ch,cpu,22.png,658473489.0,691402864,658668333.0,691424531,True,
mobileie-6ch,cpu,23.png,663615104.0,667814218,663637656.0,667835104,True,
mobileie-6ch,cpu,493.png,667659635.0,675171667,667681562.0,675199844,True,
mobileie-6ch,cpu,547.png,669002500.0,1478988645,669030781.0,1479013750,True,
mobileie-6ch,cpu,55.png,1705003228.0,1729532395,1705038541.0,1729557499,True,
mobileie-6ch,cpu,665.png,1858994218.0,1882235311,1859053957.0,1882311718,True,
mobileie-6ch,cpu,669.png,1817786822.0,1908686405,1817854374.0,1908741405,True,
mobileie-6ch,cpu,748.png,1845008645.0,1849654375,1845088437.0,1849715416,True,
mobileie-6ch,cpu,778.png,1850421614.0,1962114166,1850458125.0,1962184010,True,
mobileie-6ch,cpu,780.png,1905560989.0,1926252604,1905618072.0,1926309375,True,
mobileie-6ch,cpu,79.png,1866000155.0,1925755780,1866073541.0,1925824322,True,
ruas-lol,cpu,1.png,790578801.0,843782760,790603646.0,843825104,True,
ruas-lol,cpu,111.png,207812500.0,211884843,207836927.0,211917917,True,
ruas-lol,cpu,146.png,222926562.0,250308698,222943229.0,250345625,True,
ruas-lol,cpu,179.png,204527812.0,208867604,204544219.0,208892969,True,
ruas-lol,cpu,22.png,206590573.0,207941458,206607032.0,207957656,True,
ruas-lol,cpu,23.png,206523333.0,208228646,206548177.0,208245990,True,
ruas-lol,cpu,493.png,205078281.0,208391511,205104219.0,208407864,True,
ruas-lol,cpu,547.png,200156302.0,210943906,200172604.0,210960156,True,
ruas-lol,cpu,55.png,201156354.0,208971823,201172552.0,208986719,True,
ruas-lol,cpu,665.png,201591459.0,213343958,201608334.0,213359688,True,
ruas-lol,cpu,669.png,200122552.0,203651458,200148229.0,203666927,True,
ruas-lol,cpu,748.png,200654739.0,211408906,200670886.0,211425052,True,
ruas-lol,cpu,778.png,224422656.0,268787083,224438489.0,268806563,True,
ruas-lol,cpu,780.png,242120104.0,312926041,242140209.0,312949792,True,
ruas-lol,cpu,79.png,292712605.0,352279739,292753698.0,352297604,True,
sci-medium,cpu,1.png,150978073.0,205940260,150999323.0,205991719,True,
sci-medium,cpu,111.png,104159375.0,136609479,104181667.0,136638958,True,
sci-medium,cpu,146.png,58103907.0,74807656,58122031.0,74859375,True,
sci-medium,cpu,179.png,68839635.0,71572291,68873334.0,71598906,True,
sci-medium,cpu,22.png,62912604.0,67158593,62931302.0,67176042,True,
sci-medium,cpu,23.png,59587344.0,61839323,59611875.0,61855990,True,
sci-medium,cpu,493.png,63545885.0,67634583,63574635.0,67652343,True,
sci-medium,cpu,547.png,59439844.0,62603958,59457709.0,62621927,True,
sci-medium,cpu,55.png,62573958.0,79268646,62601354.0,79299740,True,
sci-medium,cpu,665.png,63069063.0,72385261,63095260.0,72401875,True,
sci-medium,cpu,669.png,56050885.0,67277813,56078073.0,67309583,True,
sci-medium,cpu,748.png,57938073.0,62975469,57966302.0,62993489,True,
sci-medium,cpu,778.png,60866041.0,69338854,60893385.0,69369375,True,
sci-medium,cpu,780.png,60335104.0,66636511,60352448.0,66664844,True,
sci-medium,cpu,79.png,55658177.0,62502396,55675312.0,62521510,True,
zero-dce,cpu,1.png,1416001302.0,1417337656,1416028280.0,1417375572,True,
zero-dce,cpu,111.png,1396579739.0,1412832916,1396595729.0,1412858385,True,
zero-dce,cpu,146.png,1392523333.0,1417771458,1392548957.0,1417800573,True,
zero-dce,cpu,179.png,1404263125.0,1410421979,1404279323.0,1410438228,True,
zero-dce,cpu,22.png,1401672916.0,1402262812,1401697291.0,1402278645,True,
zero-dce,cpu,23.png,1395002916.0,1400074635,1395020832.0,1400100989,True,
zero-dce,cpu,493.png,1412346510.0,1440345260,1412364166.0,1440372603,True,
zero-dce,cpu,547.png,1403891614.0,1406489739,1403918489.0,1406507447,True,
zero-dce,cpu,55.png,3988861300.0,6689205467,3988903749.0,6689265362,True,
zero-dce,cpu,665.png,1921879583.0,2225535624,1921911249.0,2225552603,True,
zero-dce,cpu,669.png,1416381250.0,1416816562,1416398020.0,1416834739,True,
zero-dce,cpu,748.png,1498273333.0,1537501979,1498289374.0,1537517447,True,
zero-dce,cpu,778.png,2343300259.0,2573318436,2343326041.0,2573340468,True,
zero-dce,cpu,780.png,1885387343.0,2040681562,1885403384.0,2040712239,True,
zero-dce,cpu,79.png,1612065312.0,2130807968,1612083853.0,2130832500,True,
