model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
lyt-net,cpu,1.png,1788366250.0,1893409426,1788390312.0,1893427135,True,
lyt-net,cpu,111.png,1702839270.0,1741509791,1702866823.0,1741529999,True,
lyt-net,cpu,146.png,1729259010.0,1745097448,1729277343.0,1745114635,True,
lyt-net,cpu,179.png,1782971718.0,1802314947,1782991979.0,1802347499,True,
lyt-net,cpu,22.png,1974459166.0,5787968175,1974476093.0,5787994998,True,
lyt-net,cpu,23.png,5380768539.0,5494416925,5380858957.0,5494448279,True,
lyt-net,cpu,493.png,5346225154.0,5523992811,5346278956.0,5524054998,True,
lyt-net,cpu,547.png,5830168956.0,8725315778,5830204841.0,8725382184,True,
lyt-net,cpu,55.png,5113261457.0,5519096092,5113293384.0,5519162498,True,
lyt-net,cpu,665.png,5215506560.0,5308619842,5215556352.0,5308648852,True,
lyt-net,cpu,669.png,5011967186.0,5210378957,5012047758.0,5210459529,True,
lyt-net,cpu,748.png,6192311560.0,7079018331,6192368852.0,7079056039,True,
lyt-net,cpu,778.png,5287681977.0,5291332706,5287751195.0,5291397967,True,
lyt-net,cpu,780.png,5436866925.0,5850400831,5436892394.0,5850480154,True,
lyt-net,cpu,79.png,4951632394.0,4972303175,4951697290.0,4972361613,True,
