model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
mobileie-6ch,cpu,1.png,641391041.0,711833125,641407187.0,711850885,True,
mobileie-6ch,cpu,111.png,645037135.0,668473281,645053542.0,668490729,True,
mobileie-6ch,cpu,146.png,611577968.0,617354114,611596198.0,617370468,True,
mobileie-6ch,cpu,179.png,664299999.0,673593645,664317240.0,673610364,True,
mobileie-6ch,cpu,22.png,658473489.0,691402864,658668333.0,691424531,True,
mobileie-6ch,cpu,23.png,663615104.0,667814218,663637656.0,667835104,True,
mobileie-6ch,cpu,493.png,667659635.0,675171667,667681562.0,675199844,True,
mobileie-6ch,cpu,547.png,669002500.0,1478988645,669030781.0,1479013750,True,
mobileie-6ch,cpu,55.png,1705003228.0,1729532395,1705038541.0,1729557499,True,
mobileie-6ch,cpu,665.png,1858994218.0,1882235311,1859053957.0,1882311718,True,
mobileie-6ch,cpu,669.png,1817786822.0,1908686405,1817854374.0,1908741405,True,
mobileie-6ch,cpu,748.png,1845008645.0,1849654375,1845088437.0,1849715416,True,
mobileie-6ch,cpu,778.png,1850421614.0,1962114166,1850458125.0,1962184010,True,
mobileie-6ch,cpu,780.png,1905560989.0,1926252604,1905618072.0,1926309375,True,
mobileie-6ch,cpu,79.png,1866000155.0,1925755780,1866073541.0,1925824322,True,
