model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
ruas-lol,cpu,1.png,790578801.0,843782760,790603646.0,843825104,True,
ruas-lol,cpu,111.png,207812500.0,211884843,207836927.0,211917917,True,
ruas-lol,cpu,146.png,222926562.0,250308698,222943229.0,250345625,True,
ruas-lol,cpu,179.png,204527812.0,208867604,204544219.0,208892969,True,
ruas-lol,cpu,22.png,206590573.0,207941458,206607032.0,207957656,True,
ruas-lol,cpu,23.png,206523333.0,208228646,206548177.0,208245990,True,
ruas-lol,cpu,493.png,205078281.0,208391511,205104219.0,208407864,True,
ruas-lol,cpu,547.png,200156302.0,210943906,200172604.0,210960156,True,
ruas-lol,cpu,55.png,201156354.0,208971823,201172552.0,208986719,True,
ruas-lol,cpu,665.png,201591459.0,213343958,201608334.0,213359688,True,
ruas-lol,cpu,669.png,200122552.0,203651458,200148229.0,203666927,True,
ruas-lol,cpu,748.png,200654739.0,211408906,200670886.0,211425052,True,
ruas-lol,cpu,778.png,224422656.0,268787083,224438489.0,268806563,True,
ruas-lol,cpu,780.png,242120104.0,312926041,242140209.0,312949792,True,
ruas-lol,cpu,79.png,292712605.0,352279739,292753698.0,352297604,True,
