model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
sci-medium,cpu,1.png,150978073.0,205940260,150999323.0,205991719,True,
sci-medium,cpu,111.png,104159375.0,136609479,104181667.0,136638958,True,
sci-medium,cpu,146.png,58103907.0,74807656,58122031.0,74859375,True,
sci-medium,cpu,179.png,68839635.0,71572291,68873334.0,71598906,True,
sci-medium,cpu,22.png,62912604.0,67158593,62931302.0,67176042,True,
sci-medium,cpu,23.png,59587344.0,61839323,59611875.0,61855990,True,
sci-medium,cpu,493.png,63545885.0,67634583,63574635.0,67652343,True,
sci-medium,cpu,547.png,59439844.0,62603958,59457709.0,62621927,True,
sci-medium,cpu,55.png,62573958.0,79268646,62601354.0,79299740,True,
sci-medium,cpu,665.png,63069063.0,72385261,63095260.0,72401875,True,
sci-medium,cpu,669.png,56050885.0,67277813,56078073.0,67309583,True,
sci-medium,cpu,748.png,57938073.0,62975469,57966302.0,62993489,True,
sci-medium,cpu,778.png,60866041.0,69338854,60893385.0,69369375,True,
sci-medium,cpu,780.png,60335104.0,66636511,60352448.0,66664844,True,
sci-medium,cpu,79.png,55658177.0,62502396,55675312.0,62521510,True,
