model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
zero-dce,cpu,1.png,1416001302.0,1417337656,1416028280.0,1417375572,True,
zero-dce,cpu,111.png,1396579739.0,1412832916,1396595729.0,1412858385,True,
zero-dce,cpu,146.png,1392523333.0,1417771458,1392548957.0,1417800573,True,
zero-dce,cpu,179.png,1404263125.0,1410421979,1404279323.0,1410438228,True,
zero-dce,cpu,22.png,1401672916.0,1402262812,1401697291.0,1402278645,True,
zero-dce,cpu,23.png,1395002916.0,1400074635,1395020832.0,1400100989,True,
zero-dce,cpu,493.png,1412346510.0,1440345260,1412364166.0,1440372603,True,
zero-dce,cpu,547.png,1403891614.0,1406489739,1403918489.0,1406507447,True,
zero-dce,cpu,55.png,3988861300.0,6689205467,3988903749.0,6689265362,True,
zero-dce,cpu,665.png,1921879583.0,2225535624,1921911249.0,2225552603,True,
zero-dce,cpu,669.png,1416381250.0,1416816562,1416398020.0,1416834739,True,
zero-dce,cpu,748.png,1498273333.0,1537501979,1498289374.0,1537517447,True,
zero-dce,cpu,778.png,2343300259.0,2573318436,2343326041.0,2573340468,True,
zero-dce,cpu,780.png,1885387343.0,2040681562,1885403384.0,2040712239,True,
zero-dce,cpu,79.png,1612065312.0,2130807968,1612083853.0,2130832500,True,
