model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
lyt-net,cpu,1.png,1179800416.0,1210428541,1179823958.0,1210441458,True,
lyt-net,cpu,111.png,1187881354.0,1190776249,1187898124.0,1190818073,True,
lyt-net,cpu,146.png,1183270260.0,1185758176,1183282707.0,1185779375,True,
lyt-net,cpu,179.png,1181125833.0,1188156927,1181147499.0,1188172604,True,
lyt-net,cpu,22.png,1205112031.0,1291953020,1205125833.0,1291975521,True,
lyt-net,cpu,23.png,1185521875.0,1192779531,1185543541.0,1192794375,True,
lyt-net,cpu,493.png,1187140104.0,1188985156,1187152812.0,1189014947,True,
lyt-net,cpu,547.png,1187838437.0,1191132916,1187858905.0,1191153542,True,
lyt-net,cpu,55.png,1203866718.0,1278429375,1203882916.0,1278446354,True,
lyt-net,cpu,665.png,1317493281.0,1357820573,1317508593.0,1357835260,True,
lyt-net,cpu,669.png,1302524791.0,1309220885,1302557603.0,1309238176,True,
lyt-net,cpu,748.png,1306841458.0,1317199947,1306857552.0,1317233384,True,
lyt-net,cpu,778.png,1287228437.0,1303886614,1287245312.0,1303903958,True,
lyt-net,cpu,780.png,1298165885.0,1310547864,1298182864.0,1310582552,True,
lyt-net,cpu,79.png,1302430156.0,1325014478,1302491614.0,1325032916,True,
mobileie-6ch,cpu,1.png,427588229.0,439573542,427606041.0,439582969,True,
mobileie-6ch,cpu,111.png,399145312.0,399961719,399156979.0,399977656,True,
mobileie-6ch,cpu,146.png,425814895.0,436504479,425827135.0,436515260,True,
mobileie-6ch,cpu,179.png,441331771.0,442644427,441350260.0,442655000,True,
mobileie-6ch,cpu,22.png,451012500.0,456700052,451023229.0,456720885,True,
mobileie-6ch,cpu,23.png,440076302.0,442063541,440090677.0,442076302,True,
mobileie-6ch,cpu,493.png,460845417.0,460988697,460861927.0,461009583,True,
mobileie-6ch,cpu,547.png,439722656.0,439787447,439733177.0,439798229,True,
mobileie-6ch,cpu,55.png,459751354.0,465161719,459764531.0,465180312,True,
mobileie-6ch,cpu,665.png,441279427.0,443025833,441290833.0,443043854,True,
mobileie-6ch,cpu,669.png,450146042.0,468125677,450157500.0,468144427,True,
mobileie-6ch,cpu,748.png,447312083.0,454828333,447332760.0,454843750,True,
mobileie-6ch,cpu,778.png,447638593.0,461229271,447657500.0,461241458,True,
mobileie-6ch,cpu,780.png,439945885.0,441607864,439957395.0,441626614,True,
mobileie-6ch,cpu,79.png,439906458.0,441156197,439918437.0,441172761,True,
ruas-lol,cpu,1.png,144246875.0,145818594,144257656.0,145830209,True,
ruas-lol,cpu,111.png,149863073.0,169381198,149874375.0,169395521,True,
ruas-lol,cpu,146.png,146782864.0,147001041,146802813.0,147014115,True,
ruas-lol,cpu,179.png,141790365.0,143388125,141811927.0,143400104,True,
ruas-lol,cpu,22.png,145953333.0,154935781,145965781.0,154953906,True,
ruas-lol,cpu,23.png,143990729.0,147711979,144010156.0,147724739,True,
ruas-lol,cpu,493.png,143970416.0,153521302,143989375.0,153533489,True,
ruas-lol,cpu,547.png,145146249.0,154923542,145158230.0,154935521,True,
ruas-lol,cpu,55.png,148175312.0,154325624,148193750.0,154339687,True,
ruas-lol,cpu,665.png,156743334.0,159156250,156763177.0,159169947,True,
ruas-lol,cpu,669.png,142579635.0,143588750,142598125.0,143600520,True,
ruas-lol,cpu,748.png,154006042.0,157000625,154019010.0,157019114,True,
ruas-lol,cpu,778.png,143126979.0,145825989,143139010.0,145844843,True,
ruas-lol,cpu,780.png,150223281.0,154574948,150242500.0,154589167,True,
ruas-lol,cpu,79.png,155061927.0,160199010,155075156.0,160212605,True,
sci-medium,cpu,1.png,36971146.0,37166510,36983906.0,37180053,True,
sci-medium,cpu,111.png,42209844.0,43709219,42221042.0,43720261,True,
sci-medium,cpu,146.png,43965313.0,46808907,43975677.0,46828542,True,
sci-medium,cpu,179.png,39066459.0,42317135,39087396.0,42328230,True,
sci-medium,cpu,22.png,48998333.0,54296927,49029792.0,54327969,True,
sci-medium,cpu,23.png,47627656.0,51991980,47651667.0,52005990,True,
sci-medium,cpu,493.png,41681823.0,45924271,41705677.0,45937188,True,
sci-medium,cpu,547.png,45933594.0,53829480,45947344.0,53851042,True,
sci-medium,cpu,55.png,48899375.0,49122500,48920417.0,49134166,True,
sci-medium,cpu,665.png,45304948.0,52413125,45318958.0,52435937,True,
sci-medium,cpu,669.png,45175885.0,46289947,45188125.0,46313021,True,
sci-medium,cpu,748.png,41330156.0,54407708,41343906.0,54461980,True,
sci-medium,cpu,778.png,39330521.0,49047657,39342553.0,49060312,True,
sci-medium,cpu,780.png,49198594.0,57432708,49213541.0,57456458,True,
sci-medium,cpu,79.png,41418646.0,50803490,41431250.0,50834375,True,
zero-dce,cpu,1.png,936869791.0,940142396,936879427.0,940152552,True,
zero-dce,cpu,111.png,947260885.0,948875781,947271094.0,948885156,True,
zero-dce,cpu,146.png,940154218.0,948923020,940172343.0,948934322,True,
zero-dce,cpu,179.png,957294896.0,971857240,957305624.0,971871771,True,
zero-dce,cpu,22.png,955804531.0,966071770,955816093.0,966090208,True,
zero-dce,cpu,23.png,962845833.0,981349635,962856354.0,981358697,True,
zero-dce,cpu,493.png,970029270.0,980397969,970040156.0,980417448,True,
zero-dce,cpu,547.png,959580573.0,978070000,959593437.0,978087291,True,
zero-dce,cpu,55.png,959550676.0,960405937,959568489.0,960416458,True,
zero-dce,cpu,665.png,965437083.0,970506562,965456614.0,970519115,True,
zero-dce,cpu,669.png,963803854.0,965648229,963820989.0,965659166,True,
zero-dce,cpu,748.png,975595104.0,986472760,975611927.0,986485781,True,
zero-dce,cpu,778.png,962827448.0,966012448,962846354.0,966023385,True,
zero-dce,cpu,780.png,1078413906.0,1119817395,1078436770.0,1119829374,True,
zero-dce,cpu,79.png,1068816875.0,1073685989,1068837395.0,1073695937,True,
