model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
lyt-net,cpu,1.png,1179800416.0,1210428541,1179823958.0,1210441458,True,
lyt-net,cpu,111.png,1187881354.0,1190776249,1187898124.0,1190818073,True,
lyt-net,cpu,146.png,1183270260.0,1185758176,1183282707.0,1185779375,True,
lyt-net,cpu,179.png,1181125833.0,1188156927,1181147499.0,1188172604,True,
lyt-net,cpu,22.png,1205112031.0,1291953020,1205125833.0,1291975521,True,
lyt-net,cpu,23.png,1185521875.0,1192779531,1185543541.0,1192794375,True,
lyt-net,cpu,493.png,1187140104.0,1188985156,1187152812.0,1189014947,True,
lyt-net,cpu,547.png,1187838437.0,1191132916,1187858905.0,1191153542,True,
lyt-net,cpu,55.png,1203866718.0,1278429375,1203882916.0,1278446354,True,
lyt-net,cpu,665.png,1317493281.0,1357820573,1317508593.0,1357835260,True,
lyt-net,cpu,669.png,1302524791.0,1309220885,1302557603.0,1309238176,True,
lyt-net,cpu,748.png,1306841458.0,1317199947,1306857552.0,1317233384,True,
lyt-net,cpu,778.png,1287228437.0,1303886614,1287245312.0,1303903958,True,
lyt-net,cpu,780.png,1298165885.0,1310547864,1298182864.0,1310582552,True,
lyt-net,cpu,79.png,1302430156.0,1325014478,1302491614.0,1325032916,True,
