model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
mobileie-6ch,cpu,1.png,427588229.0,439573542,427606041.0,439582969,True,
mobileie-6ch,cpu,111.png,399145312.0,399961719,399156979.0,399977656,True,
mobileie-6ch,cpu,146.png,425814895.0,436504479,425827135.0,436515260,True,
mobileie-6ch,cpu,179.png,441331771.0,442644427,441350260.0,442655000,True,
mobileie-6ch,cpu,22.png,451012500.0,456700052,451023229.0,456720885,True,
mobileie-6ch,cpu,23.png,440076302.0,442063541,440090677.0,442076302,True,
mobileie-6ch,cpu,493.png,460845417.0,460988697,460861927.0,461009583,True,
mobileie-6ch,cpu,547.png,439722656.0,439787447,439733177.0,439798229,True,
mobileie-6ch,cpu,55.png,459751354.0,465161719,459764531.0,465180312,True,
mobileie-6ch,cpu,665.png,441279427.0,443025833,441290833.0,443043854,True,
mobileie-6ch,cpu,669.png,450146042.0,468125677,450157500.0,468144427,True,
mobileie-6ch,cpu,748.png,447312083.0,454828333,447332760.0,454843750,True,
mobileie-6ch,cpu,778.png,447638593.0,461229271,447657500.0,461241458,True,
mobileie-6ch,cpu,780.png,439945885.0,441607864,439957395.0,441626614,True,
mobileie-6ch,cpu,79.png,439906458.0,441156197,439918437.0,441172761,True,
