model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
ruas-lol,cpu,1.png,144246875.0,145818594,144257656.0,145830209,True,
ruas-lol,cpu,111.png,149863073.0,169381198,149874375.0,169395521,True,
ruas-lol,cpu,146.png,146782864.0,147001041,146802813.0,147014115,True,
ruas-lol,cpu,179.png,141790365.0,143388125,141811927.0,143400104,True,
ruas-lol,cpu,22.png,145953333.0,154935781,145965781.0,154953906,True,
ruas-lol,cpu,23.png,143990729.0,147711979,144010156.0,147724739,True,
ruas-lol,cpu,493.png,143970416.0,153521302,143989375.0,153533489,True,
ruas-lol,cpu,547.png,145146249.0,154923542,145158230.0,154935521,True,
ruas-lol,cpu,55.png,148175312.0,154325624,148193750.0,154339687,True,
ruas-lol,cpu,665.png,156743334.0,159156250,156763177.0,159169947,True,
ruas-lol,cpu,669.png,142579635.0,143588750,142598125.0,143600520,True,
ruas-lol,cpu,748.png,154006042.0,157000625,154019010.0,157019114,True,
ruas-lol,cpu,778.png,143126979.0,145825989,143139010.0,145844843,True,
ruas-lol,cpu,780.png,150223281.0,154574948,150242500.0,154589167,True,
ruas-lol,cpu,79.png,155061927.0,160199010,155075156.0,160212605,True,
