model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
sci-medium,cpu,1.png,36971146.0,37166510,36983906.0,37180053,True,
sci-medium,cpu,111.png,42209844.0,43709219,42221042.0,43720261,True,
sci-medium,cpu,146.png,43965313.0,46808907,43975677.0,46828542,True,
sci-medium,cpu,179.png,39066459.0,42317135,39087396.0,42328230,True,
sci-medium,cpu,22.png,48998333.0,54296927,49029792.0,54327969,True,
sci-medium,cpu,23.png,47627656.0,51991980,47651667.0,52005990,True,
sci-medium,cpu,493.png,41681823.0,45924271,41705677.0,45937188,True,
sci-medium,cpu,547.png,45933594.0,53829480,45947344.0,53851042,True,
sci-medium,cpu,55.png,48899375.0,49122500,48920417.0,49134166,True,
sci-medium,cpu,665.png,45304948.0,52413125,45318958.0,52435937,True,
sci-medium,cpu,669.png,45175885.0,46289947,45188125.0,46313021,True,
sci-medium,cpu,748.png,41330156.0,54407708,41343906.0,54461980,True,
sci-medium,cpu,778.png,39330521.0,49047657,39342553.0,49060312,True,
sci-medium,cpu,780.png,49198594.0,57432708,49213541.0,57456458,True,
sci-medium,cpu,79.png,41418646.0,50803490,41431250.0,50834375,True,
