model_id,backend,image_id,median_model_ns,p95_model_ns,median_e2e_ns,p95_e2e_ns,success,failure_reason
zero-dce,cpu,1.png,936869791.0,940142396,936879427.0,940152552,True,
zero-dce,cpu,111.png,947260885.0,948875781,947271094.0,948885156,True,
zero-dce,cpu,146.png,940154218.0,948923020,940172343.0,948934322,True,
zero-dce,cpu,179.png,957294896.0,971857240,957305624.0,971871771,True,
zero-dce,cpu,22.png,955804531.0,966071770,955816093.0,966090208,True,
zero-dce,cpu,23.png,962845833.0,981349635,962856354.0,981358697,True,
zero-dce,cpu,493.png,970029270.0,980397969,970040156.0,980417448,True,
zero-dce,cpu,547.png,959580573.0,978070000,959593437.0,978087291,True,
zero-dce,cpu,55.png,959550676.0,960405937,959568489.0,960416458,True,
zero-dce,cpu,665.png,965437083.0,970506562,965456614.0,970519115,True,
zero-dce,cpu,669.png,963803854.0,965648229,963820989.0,965659166,True,
zero-dce,cpu,748.png,975595104.0,986472760,975611927.0,986485781,True,
zero-dce,cpu,778.png,962827448.0,966012448,962846354.0,966023385,True,
zero-dce,cpu,780.png,1078413906.0,1119817395,1078436770.0,1119829374,True,
zero-dce,cpu,79.png,1068816875.0,1073685989,1068837395.0,1073695937,True,
